,0,2,4,6,10,16,50
0,4.7,5.4,8,12,23.7,47,179.0333333
0.2,4.7,5.4,8,12,23.7,47,179.0333333
0.667,5.6,6.3,9.8,14.4,27,50.3,182.3333333
1,8.1,9.3,12,17,29.5,54,192.8333333
1.5,6.6,7,9,13.1,24,44,157.3333333
2,6,6,8.3,12.1,22,40.3,144
3,5.5,5.5,7.7,11,19.8,36,127.8
10,5,5,7,10,16.4,26,80.4
