xflr5 v6.61

Main Aircraft
LoadCase1Extendedalpha
QInf  =,  130.700000 ,m/s
Alpha = ,  19.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.722522
Cy    = ,   0.000000
Cd=,   0.089511,ICd=,    0.079657,PCd=,    0.009854
Cl   = ,7.88386e-14
Cm   =,    -1.92482
ICn=,    0.000000,PCn=,    0.000000
XCP=,    9.508084, YCP=,   -0.000000, ZCP=,    1.045104 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-13.945, 0.267091, 0.006593, 0.074477,-0.648875,-0.002924, 0.1418, 0.0899, 0.2694, 0.0000
  -32.4825,   4.1031,-12.310, 0.260616, 0.006587, 0.059485,-1.106233,-0.004217, 0.1445, 0.0886, 0.2660, 1.1282
  -32.4545,   4.1082,-11.823, 0.350062, 0.006634, 0.074776,-1.591147,-0.005891, 0.1117, 0.1107, 0.2654, 9.9612
  -32.4125,   4.1157,-11.424, 0.447221, 0.006671, 0.091433,-2.068377,-0.007740, 0.0826, 0.1492, 0.2655,45.2758
  -32.3567,   4.1257,-11.029, 0.544604, 0.006697, 0.106972,-2.530007,-0.009815, 0.0643, 0.2035, 0.2660,144.9082
  -32.2870,   4.1382,-10.635, 0.640102, 0.006730, 0.120882,-2.971682,-0.012181, 0.0497, 0.2703, 0.2669,372.0962
  -32.2035,   4.1532,-10.246, 0.732761, 0.006744, 0.133032,-3.390268,-0.014894, 0.0410, 0.3514, 0.2681,821.2602
  -32.1065,   4.1706, -9.863, 0.822030, 0.006802, 0.143439,-3.783471,-0.017999, 0.0388, 0.4124, 0.2696,1623.1405
  -31.9958,   4.1904, -9.491, 0.907554, 0.006919, 0.152188,-4.149544,-0.021528, 0.0362, 0.4599, 0.2714,2949.2306
  -31.8718,   4.2127, -9.131, 0.989092, 0.006974, 0.159392,-4.487112,-0.025490, 0.0345, 0.5349, 0.2734,5015.4608
  -31.7345,   4.2373, -8.784, 1.066483, 0.007173, 0.165172,-4.795482,-0.029874, 0.0310, 0.5666, 0.2756,8085.1033
