xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,  13.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.308604
Cy    = ,   0.000000
Cd=,   0.054259,ICd=,    0.046468,PCd=,    0.007790
Cl   = ,5.81082e-14
Cm   =,    -1.50612
ICn=,    0.000000,PCn=,    0.000000
XCP=,    9.628824, YCP=,   -0.000000, ZCP=,    1.037296 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-11.565, 0.183353, 0.006540, 0.037900,-0.505876,-0.007915, 0.1987, 0.0778, 0.3216, 0.0000
  -32.4825,   4.1031,-10.247, 0.199580, 0.006549, 0.036556,-0.863461,-0.012930, 0.1885, 0.0814, 0.3182, 0.7746
  -32.4545,   4.1082, -9.794, 0.272685, 0.006615, 0.047391,-1.241573,-0.018327, 0.1461, 0.0966, 0.3169, 7.3550
  -32.4125,   4.1157, -9.396, 0.349845, 0.006641, 0.058143,-1.612255,-0.023594, 0.1174, 0.1202, 0.3161,34.3861
  -32.3567,   4.1257, -8.994, 0.426371, 0.006687, 0.067696,-1.969133,-0.028671, 0.0920, 0.1478, 0.3154,111.4566
  -32.2870,   4.1382, -8.592, 0.500883, 0.006689, 0.075863,-2.308736,-0.033566, 0.0743, 0.1985, 0.3150,287.9981
  -32.2035,   4.1532, -8.195, 0.572747, 0.006697, 0.082648,-2.628766,-0.038304, 0.0622, 0.2536, 0.3147,637.7035
  -32.1065,   4.1706, -7.809, 0.641608, 0.006696, 0.088145,-2.927618,-0.042930, 0.0525, 0.3115, 0.3147,1262.4073
  -31.9958,   4.1904, -7.439, 0.707259, 0.006704, 0.092484,-3.204231,-0.047489, 0.0446, 0.3636, 0.3149,2295.3930
  -31.8718,   4.2127, -7.087, 0.769583, 0.006744, 0.095807,-3.457968,-0.052022, 0.0404, 0.4103, 0.3153,3904.1066
  -31.7345,   4.2373, -6.755, 0.828519, 0.006785, 0.098250,-3.688498,-0.056561, 0.0385, 0.4528, 0.3159,6292.2683
  -31.5842,   4.2643, -6.442, 0.884048, 0.006870, 0.099933,-3.895783,-0.061122, 0.0373, 0.4769, 0.3168,9701.3812
  -31.4210,   4.2936, -6.148, 0.936178, 0.006998, 0.100955,-4.079978,-0.065703, 0.0359, 0.4863, 0.3178,14411.6407
  -31.2450,   4.3251, -5.872, 0.984940, 0.007126, 0.101396,-4.241404,-0.070286, 0.0335, 0.4998, 0.3190,20742.2518
  -31.0566,   4.3589, -5.611, 1.030382, 0.007242, 0.101319,-4.380554,-0.074841, 0.0320, 0.5165, 0.3202,29051.1670
  -30.8559,   4.3949, -5.363, 1.072569, 0.007357, 0.100778,-4.498078,-0.079327, 0.0300, 0.5349, 0.3215,39734.2635
  -30.6432,   4.4331, -5.127, 1.111582, 0.007475, 0.099819,-4.594761,-0.083699, 0.0275, 0.5552, 0.3229,53223.9855
  -30.4188,   4.4733, -4.901, 1.147520, 0.007609, 0.098489,-4.671525,-0.087913, 0.0251, 0.5684, 0.3242,69987.4846
  -30.1829,   4.5157, -4.685, 1.180500, 0.007750, 0.096838,-4.729401,-0.091926, 0.0231, 0.5741, 0.3254,90524.3006
  -29.9358,   4.5600, -4.479, 1.210652, 0.007875, 0.094917,-4.769519,-0.095707, 0.0218, 0.5784, 0.3266,115363.6283
  -29.6778,   4.6063, -4.282, 1.238122, 0.007986, 0.092780,-4.793097,-0.099231, 0.0209, 0.5816, 0.3277,145061.2204
  -29.4093,   4.6544, -4.094, 1.263064, 0.008087, 0.090486,-4.801408,-0.102482, 0.0202, 0.5842, 0.3287,180195.9782
  -29.1305,   4.7045, -3.916, 1.285643, 0.008185, 0.088088,-4.795753,-0.105456, 0.0197, 0.5855, 0.3296,221366.2756
  -28.8418,   4.7563, -3.748, 1.306024, 0.008272, 0.085640,-4.777430,-0.108155, 0.0192, 0.5864, 0.3304,269186.0625
  -28.5435,   4.8098, -3.591, 1.324373, 0.008347, 0.083188,-4.747716,-0.110588, 0.0189, 0.5873, 0.3311,324280.7852
  -28.2361,   4.8649, -3.444, 1.340853, 0.008412, 0.080773,-4.707849,-0.112770, 0.0186, 0.5880, 0.3317,387283.1554
  -27.9198,   4.9216, -3.308, 1.355619, 0.008470, 0.078430,-4.659007,-0.114716, 0.0183, 0.5887, 0.3322,458828.7963
  -27.5951,   4.9799, -3.182, 1.368819, 0.008520, 0.076185,-4.602299,-0.116447, 0.0180, 0.5893, 0.3327,539551.7895
  -27.2624,   5.0396, -3.067, 1.380593, 0.008562, 0.074057,-4.538758,-0.117982, 0.0177, 0.5898, 0.3331,630080.1406
  -26.9220,   5.1006, -2.962, 1.391067, 0.008598, 0.072060,-4.469340,-0.119341, 0.0175, 0.5903, 0.3334,731031.1858
  -26.5745,   5.1630, -2.866, 1.400361, 0.008628, 0.070203,-4.394921,-0.120541, 0.0173, 0.5907, 0.3337,843006.9554
  -26.2201,   5.2266, -2.780, 1.408580, 0.008650, 0.068488,-4.316300,-0.121602, 0.0171, 0.5908, 0.3340,966589.5143
  -25.8594,   5.2913, -2.702, 1.415823, 0.008668, 0.066917,-4.234203,-0.122538, 0.0170, 0.5908, 0.3342,1102336.2987
  -25.4927,   5.3570, -2.633, 1.422177, 0.008680, 0.065487,-4.149285,-0.123366, 0.0170, 0.5907, 0.3344,1250775.4717
  -25.1206,   5.4238, -2.570, 1.427721, 0.008688, 0.064192,-4.062138,-0.124097, 0.0169, 0.5907, 0.3346,1412401.3191
  -24.7435,   5.4915, -2.515, 1.432526, 0.008692, 0.063028,-3.973294,-0.124744, 0.0168, 0.5906, 0.3348,1587669.7118
  -24.3618,   5.5599, -2.467, 1.436657, 0.008692, 0.061988,-3.883229,-0.125317, 0.0167, 0.5905, 0.3350,1776993.6595
  -23.9760,   5.6291, -2.424, 1.440171, 0.008688, 0.061063,-3.792370,-0.125826, 0.0166, 0.5903, 0.3351,1980738.9842
  -23.5865,   5.6990, -2.386, 1.443119, 0.008682, 0.060247,-3.701098,-0.126279, 0.0166, 0.5902, 0.3353,2199220.1421
  -23.1940,   5.7694, -2.354, 1.445548, 0.008673, 0.059530,-3.609752,-0.126683, 0.0165, 0.5900, 0.3354,2432696.2225
  -22.7987,   5.8403, -2.326, 1.447499, 0.008661, 0.058906,-3.518635,-0.127045, 0.0164, 0.5898, 0.3356,2681367.1549
  -22.4013,   5.9116, -2.302, 1.449010, 0.008647, 0.058365,-3.428016,-0.127369, 0.0164, 0.5895, 0.3357,2945370.1533
  -22.0021,   5.9832, -2.282, 1.450116, 0.008632, 0.057902,-3.338132,-0.127662, 0.0163, 0.5893, 0.3359,3224776.4284
  -21.6018,   6.0550, -2.265, 1.450847, 0.008614, 0.057507,-3.249193,-0.127928, 0.0163, 0.5890, 0.3360,3519588.1961
  -21.2007,   6.1270, -2.252, 1.451231, 0.008594, 0.057175,-3.161386,-0.128170, 0.0162, 0.5887, 0.3362,3829736.0115
