xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,   7.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.871506
Cy    = ,   0.000000
Cd=,   0.027257,ICd=,    0.020601,PCd=,    0.006656
Cl   = ,3.74063e-14
Cm   =,    -1.04434
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    9.965154, YCP=,   -0.000000, ZCP=,    1.032389 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -9.018, 0.109116, 0.006483, 0.015491,-0.349271,-0.012946, 0.2509, 0.0639, 0.4228, 0.0000
  -32.4825,   4.1031, -8.047, 0.134284, 0.006506, 0.018723,-0.597385,-0.021734, 0.2320, 0.0682, 0.4193, 0.4610
  -32.4545,   4.1082, -7.635, 0.186421, 0.006541, 0.024882,-0.858415,-0.030899, 0.1966, 0.0785, 0.4172, 4.7648
  -32.4125,   4.1157, -7.242, 0.239856, 0.006578, 0.030430,-1.112451,-0.039619, 0.1634, 0.0897, 0.4148,22.9342
  -32.3567,   4.1257, -6.839, 0.292110, 0.006634, 0.035008,-1.354783,-0.047725, 0.1356, 0.1005, 0.4123,75.2398
  -32.2870,   4.1382, -6.432, 0.342405, 0.006638, 0.038595,-1.582983,-0.055160, 0.1193, 0.1174, 0.4097,195.4654
  -32.2035,   4.1532, -6.033, 0.390388, 0.006653, 0.041262,-1.795592,-0.061922, 0.1042, 0.1344, 0.4070,433.7872
  -32.1065,   4.1706, -5.649, 0.435894, 0.006690, 0.043123,-1.991802,-0.068048, 0.0884, 0.1505, 0.4044,859.2395
  -31.9958,   4.1904, -5.286, 0.478861, 0.006686, 0.044311,-2.171281,-0.073600, 0.0787, 0.1810, 0.4020,1561.7585
  -31.8718,   4.2127, -4.947, 0.519293, 0.006683, 0.044957,-2.334031,-0.078652, 0.0705, 0.2105, 0.3997,2653.8112
  -31.7345,   4.2373, -4.634, 0.557236, 0.006687, 0.045181,-2.480294,-0.083276, 0.0642, 0.2386, 0.3977,4271.6243
  -31.5842,   4.2643, -4.348, 0.592758, 0.006689, 0.045081,-2.610475,-0.087541, 0.0586, 0.2657, 0.3959,6576.0294
  -31.4210,   4.2936, -4.087, 0.625940, 0.006687, 0.044738,-2.725075,-0.091503, 0.0541, 0.2927, 0.3944,9752.9407
  -31.2450,   4.3251, -3.849, 0.656867, 0.006686, 0.044210,-2.824660,-0.095204, 0.0500, 0.3172, 0.3932,14013.4782
  -31.0566,   4.3589, -3.632, 0.685626, 0.006689, 0.043539,-2.909840,-0.098673, 0.0467, 0.3379, 0.3922,19593.7487
  -30.8559,   4.3949, -3.434, 0.712304, 0.006692, 0.042755,-2.981258,-0.101926, 0.0437, 0.3566, 0.3913,26754.2988
  -30.6432,   4.4331, -3.251, 0.736988, 0.006703, 0.041881,-3.039590,-0.104973, 0.0419, 0.3737, 0.3907,35779.2508
  -30.4188,   4.4733, -3.083, 0.759768, 0.006717, 0.040935,-3.085545,-0.107816, 0.0407, 0.3892, 0.3902,46975.1435
  -30.1829,   4.5157, -2.927, 0.780736, 0.006729, 0.039932,-3.119863,-0.110455, 0.0395, 0.4033, 0.3898,60669.4953
  -29.9358,   4.5600, -2.782, 0.799989, 0.006739, 0.038887,-3.143313,-0.112890, 0.0389, 0.4153, 0.3894,77209.1162
  -29.6778,   4.6063, -2.647, 0.817624, 0.006749, 0.037816,-3.156681,-0.115122, 0.0384, 0.4253, 0.3891,96958.1934
  -29.4093,   4.6544, -2.522, 0.833743, 0.006758, 0.036734,-3.160769,-0.117155, 0.0380, 0.4340, 0.3889,120296.1783
  -29.1305,   4.7045, -2.405, 0.848448, 0.006766, 0.035657,-3.156376,-0.118995, 0.0376, 0.4415, 0.3886,147615.4987
  -28.8418,   4.7563, -2.298, 0.861840, 0.006781, 0.034598,-3.144291,-0.120651, 0.0372, 0.4452, 0.3884,179319.1220
  -28.5435,   4.8098, -2.198, 0.874018, 0.006805, 0.033570,-3.125282,-0.122135, 0.0369, 0.4444, 0.3881,215817.9876
  -28.2361,   4.8649, -2.107, 0.885079, 0.006827, 0.032585,-3.100088,-0.123459, 0.0367, 0.4432, 0.3879,257528.3288
