xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,   8.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.982552
Cy    = ,   0.000000
Cd=,   0.033058,ICd=,    0.026221,PCd=,    0.006838
Cl   = ,4.25269e-14
Cm   =,    -1.16277
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    9.846012, YCP=,   -0.000000, ZCP=,    1.033304 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -9.668, 0.126599, 0.006499, 0.019902,-0.389337,-0.011697, 0.2378, 0.0669, 0.3894, 0.0000
  -32.4825,   4.1031, -8.609, 0.150854, 0.006522, 0.022659,-0.665471,-0.019546, 0.2196, 0.0710, 0.3859, 0.5348
  -32.4545,   4.1082, -8.185, 0.208619, 0.006553, 0.029953,-0.956456,-0.027773, 0.1827, 0.0834, 0.3840, 5.4046
  -32.4125,   4.1157, -7.791, 0.268280, 0.006609, 0.036695,-1.240330,-0.035635, 0.1483, 0.0956, 0.3821,25.8227
  -32.3567,   4.1257, -7.387, 0.326866, 0.006639, 0.042386,-1.511947,-0.042989, 0.1240, 0.1121, 0.3802,84.4681
  -32.2870,   4.1382, -6.982, 0.383463, 0.006649, 0.046977,-1.768613,-0.049794, 0.1067, 0.1321, 0.3782,219.1728
  -32.2035,   4.1532, -6.583, 0.437650, 0.006693, 0.050528,-2.008659,-0.056055, 0.0880, 0.1517, 0.3763,486.1992
  -32.1065,   4.1706, -6.198, 0.489217, 0.006687, 0.053152,-2.231072,-0.061812, 0.0766, 0.1891, 0.3744,963.0708
  -31.9958,   4.1904, -5.832, 0.538066, 0.006688, 0.054986,-2.435334,-0.067121, 0.0676, 0.2255, 0.3728,1750.9415
  -31.8718,   4.2127, -5.489, 0.584171, 0.006693, 0.056168,-2.621285,-0.072049, 0.0601, 0.2604, 0.3714,2976.5045
  -31.7345,   4.2373, -5.171, 0.627552, 0.006691, 0.056824,-2.789029,-0.076659, 0.0541, 0.2965, 0.3702,4793.4479
  -31.5842,   4.2643, -4.878, 0.668254, 0.006692, 0.057061,-2.938852,-0.081005, 0.0489, 0.3289, 0.3692,7383.4704
  -31.4210,   4.2936, -4.608, 0.706341, 0.006697, 0.056965,-3.071174,-0.085130, 0.0445, 0.3574, 0.3685,10956.8691
  -31.2450,   4.3251, -4.361, 0.741884, 0.006714, 0.056601,-3.186502,-0.089059, 0.0418, 0.3832, 0.3681,15752.7128
  -31.0566,   4.3589, -4.132, 0.774960, 0.006737, 0.056018,-3.285419,-0.092808, 0.0400, 0.4068, 0.3678,22038.6107
  -30.8559,   4.3949, -3.921, 0.805650, 0.006756, 0.055252,-3.368571,-0.096378, 0.0389, 0.4279, 0.3676,30110.0932
  -30.6432,   4.4331, -3.725, 0.834041, 0.006774, 0.054329,-3.436661,-0.099765, 0.0382, 0.4462, 0.3676,40289.6208
  -30.4188,   4.4733, -3.542, 0.860226, 0.006797, 0.053275,-3.490453,-0.102959, 0.0376, 0.4608, 0.3677,52925.2427
  -30.1829,   4.5157, -3.371, 0.884302, 0.006852, 0.052113,-3.530763,-0.105949, 0.0371, 0.4628, 0.3679,68388.9328
  -29.9358,   4.5600, -3.210, 0.906375, 0.006901, 0.050864,-3.558452,-0.108728, 0.0366, 0.4643, 0.3680,87074.6311
  -29.6778,   4.6063, -3.060, 0.926556, 0.006946, 0.049552,-3.574417,-0.111291, 0.0361, 0.4656, 0.3682,109396.0247
