xflr5 v6.61

Plane name :, Main Aircraft
Polar name :, LoadCase1Extendedalpha
Freestream speed :, 130.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   12.000,     0.000,   1.237170,   0.041566,   0.007740,   0.049306,   0.000000,   0.000000,  -1.431653,   0.000000,   0.000000,  130.7000,    9.6641
   12.500,     0.000,   1.272966,   0.043990,   0.007874,   0.051864,   0.000000,   0.000000,  -1.469044,   0.000000,   0.000000,  130.7000,    9.6457
   13.000,     0.000,   1.308604,   0.046468,   0.008009,   0.054478,   0.000000,   0.000000,  -1.506146,   0.000000,   0.000000,  130.7000,    9.6288
   13.500,     0.000,   1.344081,   0.048998,   0.008146,   0.057144,   0.000000,   0.000000,  -1.542947,   0.000000,   0.000000,  130.7000,    9.6132
   14.000,     0.000,   1.379392,   0.051577,   0.008283,   0.059859,   0.000000,   0.000000,  -1.579436,   0.000000,   0.000000,  130.7000,    9.5989
   14.500,     0.000,   1.414533,   0.054203,   0.008420,   0.062623,   0.000000,   0.000000,  -1.615602,   0.000000,   0.000000,  130.7000,    9.5857
   15.000,     0.000,   1.449500,   0.056875,   0.008566,   0.065441,   0.000000,   0.000000,  -1.651435,   0.000000,   0.000000,  130.7000,    9.5736
   15.500,     0.000,   1.484290,   0.059591,   0.008715,   0.068306,   0.000000,   0.000000,  -1.686924,   0.000000,   0.000000,  130.7000,    9.5625
   16.000,     0.000,   1.518898,   0.062349,   0.008872,   0.071221,   0.000000,   0.000000,  -1.722059,   0.000000,   0.000000,  130.7000,    9.5523
   16.500,     0.000,   1.553321,   0.065146,   0.009031,   0.074177,   0.000000,   0.000000,  -1.756828,   0.000000,   0.000000,  130.7000,    9.5430
   17.000,     0.000,   1.587554,   0.067982,   0.009191,   0.077173,   0.000000,   0.000000,  -1.791221,   0.000000,   0.000000,  130.7000,    9.5346
   17.500,     0.000,   1.621595,   0.070852,   0.009355,   0.080207,   0.000000,   0.000000,  -1.825226,   0.000000,   0.000000,  130.7000,    9.5269
   18.000,     0.000,   1.655438,   0.073757,   0.009519,   0.083276,   0.000000,   0.000000,  -1.858835,   0.000000,   0.000000,  130.7000,    9.5199
   18.500,     0.000,   1.689082,   0.076692,   0.009685,   0.086377,   0.000000,   0.000000,  -1.892036,   0.000000,   0.000000,  130.7000,    9.5137
