xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,  -2.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.189333
Cy    = ,   0.000000
Cd=,   0.007212,ICd=,    0.000991,PCd=,    0.006221
Cl   = ,5.75402e-15
Cm   =,   -0.314654
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   13.978306, YCP=,   -0.000000, ZCP=,    1.036975 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -4.956, 0.022521, 0.006369, 0.001614,-0.103724,-0.020088, 0.3336, 0.0529, 1.2602, 0.0000
  -32.4825,   4.1031, -4.545, 0.034615, 0.006385, 0.002685,-0.180002,-0.034272, 0.3214, 0.0543, 1.2626, 0.0952
  -32.4545,   4.1082, -4.206, 0.048675, 0.006404, 0.003549,-0.257446,-0.048813, 0.3073, 0.0559, 1.2655, 1.1559
  -32.4125,   4.1157, -3.833, 0.061838, 0.006422, 0.004126,-0.328792,-0.062453, 0.2939, 0.0575, 1.2699, 5.7983
  -32.3567,   4.1257, -3.437, 0.073630, 0.006437, 0.004413,-0.392013,-0.074861, 0.2819, 0.0588, 1.2756,19.2083
  -32.2870,   4.1382, -3.036, 0.083883, 0.006451, 0.004443,-0.446269,-0.085888, 0.2713, 0.0600, 1.2823,49.7552
  -32.2035,   4.1532, -2.644, 0.092574, 0.006461, 0.004271,-0.491439,-0.095487, 0.2622, 0.0610, 1.2896,109.3817
  -32.1065,   4.1706, -2.272, 0.099778, 0.006469, 0.003956,-0.527921,-0.103685, 0.2554, 0.0620, 1.2972,213.7862
  -31.9958,   4.1904, -1.928, 0.105635, 0.006473, 0.003555,-0.556472,-0.110565, 0.2503, 0.0629, 1.3047,382.4370
  -31.8718,   4.2127, -1.618, 0.110325, 0.006476, 0.003115,-0.578058,-0.116244, 0.2461, 0.0636, 1.3117,638.4634
  -31.7345,   4.2373, -1.343, 0.114046, 0.006477, 0.002673,-0.593745,-0.120857, 0.2425, 0.0641, 1.3178,1008.4774
  -31.5842,   4.2643, -1.104, 0.116993, 0.006478, 0.002254,-0.604596,-0.124550, 0.2395, 0.0645, 1.3226,1522.3659
  -31.4210,   4.2936, -0.899, 0.119351, 0.006478, 0.001873,-0.611606,-0.127460, 0.2368, 0.0648, 1.3260,2213.0894
  -31.2450,   4.3251, -0.726, 0.121286, 0.006477, 0.001537,-0.615658,-0.129719, 0.2344, 0.0650, 1.3276,3116.5089
  -31.0566,   4.3589, -0.582, 0.122937, 0.006475, 0.001248,-0.617506,-0.131446, 0.2321, 0.0651, 1.3272,4271.2517
  -30.8559,   4.3949, -0.463, 0.124420, 0.006474, 0.001005,-0.617766,-0.132742, 0.2299, 0.0652, 1.3249,5718.6188
  -30.6432,   4.4331, -0.366, 0.125828, 0.006472, 0.000803,-0.616929,-0.133697, 0.2277, 0.0652, 1.3205,7502.5303
  -30.4188,   4.4733, -0.288, 0.127232, 0.006469, 0.000638,-0.615369,-0.134386, 0.2255, 0.0653, 1.3141,9669.4995
  -30.1829,   4.5157, -0.225, 0.128682, 0.006467, 0.000506,-0.613361,-0.134869, 0.2232, 0.0653, 1.3059,12268.6261
  -29.9358,   4.5600, -0.177, 0.130215, 0.006464, 0.000401,-0.611097,-0.135197, 0.2207, 0.0654, 1.2959,15351.5953
  -29.6778,   4.6063, -0.139, 0.131853, 0.006462, 0.000319,-0.608702,-0.135410, 0.2182, 0.0654, 1.2845,18972.6709
  -29.4093,   4.6544, -0.111, 0.133608, 0.006459, 0.000257,-0.606245,-0.135540, 0.2156, 0.0655, 1.2719,23188.6717
  -29.1305,   4.7045, -0.090, 0.135482, 0.006456, 0.000212,-0.603759,-0.135611, 0.2129, 0.0656, 1.2583,28058.9191
  -28.8418,   4.7563, -0.075, 0.137472, 0.006452, 0.000180,-0.601247,-0.135641, 0.2101, 0.0657, 1.2439,33645.1488
  -28.5435,   4.8098, -0.066, 0.139569, 0.006449, 0.000159,-0.598692,-0.135644, 0.2072, 0.0657, 1.2289,40011.3790
  -28.2361,   4.8649, -0.060, 0.141764, 0.006445, 0.000148,-0.596066,-0.135630, 0.2042, 0.0659, 1.2136,47223.7294
  -27.9198,   4.9216, -0.058, 0.144043, 0.006441, 0.000145,-0.593333,-0.135607, 0.2012, 0.0660, 1.1982,55350.1890
  -27.5951,   4.9799, -0.058, 0.146391, 0.006437, 0.000148,-0.590458,-0.135578, 0.1982, 0.0661, 1.1828,64460.3311
  -27.2624,   5.0396, -0.060, 0.148794, 0.006432, 0.000156,-0.587407,-0.135549, 0.1951, 0.0662, 1.1675,74624.9736
  -26.9220,   5.1006, -0.064, 0.151238, 0.006427, 0.000169,-0.584149,-0.135520, 0.1921, 0.0663, 1.1524,85915.7883
  -26.5745,   5.1630, -0.069, 0.153709, 0.006422, 0.000186,-0.580658,-0.135492, 0.1890, 0.0664, 1.1377,98404.8594
  -26.2201,   5.2266, -0.076, 0.156194, 0.006417, 0.000205,-0.576914,-0.135468, 0.1860, 0.0665, 1.1234,112164.1946
  -25.8594,   5.2913, -0.082, 0.158682, 0.006411, 0.000228,-0.572902,-0.135447, 0.1830, 0.0666, 1.1096,127265.1936
  -25.4927,   5.3570, -0.090, 0.161160, 0.006405, 0.000252,-0.568613,-0.135429, 0.1801, 0.0667, 1.0962,143778.0755
  -25.1206,   5.4238, -0.098, 0.163619, 0.006398, 0.000278,-0.564043,-0.135414, 0.1774, 0.0669, 1.0834,161771.2738
  -24.7435,   5.4915, -0.106, 0.166051, 0.006390, 0.000306,-0.559194,-0.135403, 0.1747, 0.0670, 1.0711,181310.8002
  -24.3618,   5.5599, -0.114, 0.168446, 0.006382, 0.000335,-0.554068,-0.135394, 0.1721, 0.0672, 1.0594,202459.5868
  -23.9760,   5.6291, -0.123, 0.170797, 0.006375, 0.000366,-0.548677,-0.135388, 0.1694, 0.0672, 1.0482,225276.8094
  -23.5865,   5.6990, -0.132, 0.173098, 0.006369, 0.000397,-0.543029,-0.135385, 0.1666, 0.0672, 1.0375,249817.2010
  -23.1940,   5.7694, -0.140, 0.175344, 0.006363, 0.000428,-0.537142,-0.135384, 0.1637, 0.0672, 1.0274,276130.3604
  -22.7987,   5.8403, -0.149, 0.177529, 0.006357, 0.000461,-0.531031,-0.135386, 0.1610, 0.0672, 1.0178,304260.0644
  -22.4013,   5.9116, -0.158, 0.179648, 0.006351, 0.000494,-0.524714,-0.135389, 0.1582, 0.0671, 1.0088,334243.5891
  -22.0021,   5.9832, -0.166, 0.181700, 0.006344, 0.000527,-0.518211,-0.135395, 0.1556, 0.0670, 1.0002,366111.0488
  -21.6018,   6.0550, -0.175, 0.183679, 0.006338, 0.000560,-0.511543,-0.135403, 0.1529, 0.0669, 0.9922,399884.7595
  -21.2007,   6.1270, -0.183, 0.185584, 0.006331, 0.000593,-0.504729,-0.135413, 0.1504, 0.0667, 0.9846,435578.6331
  -20.7993,   6.1990, -0.192, 0.187412, 0.006325, 0.000625,-0.497793,-0.135425, 0.1479, 0.0666, 0.9775,473197.6105
  -20.3982,   6.2710, -0.200, 0.189163, 0.006318, 0.000658,-0.490755,-0.135439, 0.1454, 0.0664, 0.9708,512737.1408
  -19.9979,   6.3428, -0.208, 0.190833, 0.006312, 0.000690,-0.483636,-0.135456, 0.1430, 0.0662, 0.9646,554182.7106
  -19.5987,   6.4144, -0.215, 0.192423, 0.006305, 0.000722,-0.476457,-0.135475, 0.1407, 0.0660, 0.9588,597509.4331
  -19.2013,   6.4857, -0.223, 0.193932, 0.006298, 0.000753,-0.469240,-0.135496, 0.1384, 0.0658, 0.9534,642681.6997
  -18.8060,   6.5566, -0.230, 0.195359, 0.006292, 0.000783,-0.462004,-0.135521, 0.1362, 0.0655, 0.9483,689652.9013
  -18.4135,   6.6270, -0.237, 0.196705, 0.006285, 0.000812,-0.454769,-0.135548, 0.1340, 0.0652, 0.9437,738365.2224
  -18.0240,   6.6969, -0.243, 0.197969, 0.006278, 0.000839,-0.447554,-0.135579, 0.1319, 0.0650, 0.9394,788749.5136
  -17.6382,   6.7661, -0.249, 0.199153, 0.006272, 0.000866,-0.440376,-0.135614, 0.1299, 0.0647, 0.9355,840725.2443
  -17.2565,   6.8345, -0.255, 0.200256, 0.006265, 0.000891,-0.433253,-0.135654, 0.1279, 0.0644, 0.9319,894200.5394
  -16.8794,   6.9022, -0.261, 0.201280, 0.006259, 0.000914,-0.426202,-0.135697, 0.1262, 0.0641, 0.9286,949072.3013
  -16.5073,   6.9690, -0.265, 0.202226, 0.006255, 0.000936,-0.419237,-0.135746, 0.1254, 0.0641, 0.9257,1005226.4177
  -16.1406,   7.0347, -0.270, 0.203094, 0.006251, 0.000955,-0.412373,-0.135801, 0.1245, 0.0641, 0.9231,1062538.0568
  -15.7799,   7.0994, -0.274, 0.203888, 0.006247, 0.000972,-0.405625,-0.135862, 0.1238, 0.0640, 0.9208,1120872.0478
  -15.4255,   7.1630, -0.277, 0.204607, 0.006243, 0.000987,-0.399006,-0.135929, 0.1230, 0.0640, 0.9187,1180083.3465
  -15.0780,   7.2254, -0.279, 0.205255, 0.006239, 0.000998,-0.392528,-0.136004, 0.1223, 0.0640, 0.9170,1240017.5827
  -14.7376,   7.2864, -0.281, 0.205832, 0.006235, 0.001007,-0.386201,-0.136086, 0.1217, 0.0639, 0.9155,1300511.6869
  -14.4049,   7.3461, -0.281, 0.206341, 0.006231, 0.001012,-0.380037,-0.136177, 0.1210, 0.0639, 0.9143,1361394.5924
  -14.0802,   7.4044, -0.281, 0.206785, 0.006227, 0.001013,-0.374046,-0.136276, 0.1205, 0.0638, 0.9133,1422488.0080
  -13.7639,   7.4611, -0.280, 0.207166, 0.006223, 0.001009,-0.368235,-0.136384, 0.1199, 0.0637, 0.9126,1483607.2563
  -13.4565,   7.5162, -0.277, 0.207486, 0.006219, 0.001001,-0.362613,-0.136500, 0.1194, 0.0637, 0.9122,1544562.1712
  -13.1582,   7.5697, -0.273, 0.207749, 0.006216, 0.000988,-0.357187,-0.136626, 0.1190, 0.0636, 0.9120,1605158.0480
  -12.8695,   7.6215, -0.267, 0.207958, 0.006212, 0.000969,-0.351965,-0.136761, 0.1185, 0.0635, 0.9119,1665196.6406
  -12.5907,   7.6716, -0.260, 0.208115, 0.006209, 0.000944,-0.346952,-0.136904, 0.1181, 0.0635, 0.9121,1724477.1951
  -12.3222,   7.7197, -0.251, 0.208225, 0.006205, 0.000911,-0.342153,-0.137057, 0.1177, 0.0634, 0.9125,1782797.5155
  -12.0642,   7.7660, -0.240, 0.208292, 0.006202, 0.000870,-0.337573,-0.137217, 0.1174, 0.0633, 0.9131,1839955.0507
  -11.8171,   7.8103, -0.226, 0.208319, 0.006199, 0.000819,-0.333218,-0.137386, 0.1171, 0.0632, 0.9138,1895747.9959
  -11.5812,   7.8527, -0.209, 0.208311, 0.006196, 0.000759,-0.329091,-0.137563, 0.1168, 0.0632, 0.9147,1949976.3989
  -11.3568,   7.8929, -0.189, 0.208273, 0.006193, 0.000686,-0.325196,-0.137747, 0.1165, 0.0631, 0.9157,2002443.2641
  -11.1441,   7.9311, -0.166, 0.208211, 0.006190, 0.000601,-0.321538,-0.137939, 0.1163, 0.0630, 0.9168,2052955.6435
  -10.9434,   7.9671, -0.138, 0.208130, 0.006188, 0.000500,-0.318121,-0.138139, 0.1161, 0.0629, 0.9181,2101325.7099
  -10.7550,   8.0009, -0.106, 0.208036, 0.006185, 0.000383,-0.314949,-0.138346, 0.1159, 0.0629, 0.9194,2147371.8003
  -10.5790,   8.0324, -0.068, 0.207938, 0.006183, 0.000246,-0.312028,-0.138561, 0.1157, 0.0628, 0.9207,2190919.4253
  -10.4158,   8.0617, -0.025, 0.207842, 0.006181, 0.000088,-0.309361,-0.138786, 0.1155, 0.0627, 0.9221,2231802.2350
  -10.2655,   8.0887,  0.026, 0.207756, 0.006179,-0.000096,-0.306954,-0.139020, 0.1153, 0.0627, 0.9236,2269862.9363
  -10.1282,   8.1133,  0.084, 0.207689, 0.006178,-0.000307,-0.304814,-0.139265, 0.1152, 0.0626, 0.9250,2304954.1554
  -10.0042,   8.1356,  0.151, 0.207651, 0.006176,-0.000550,-0.302944,-0.139522, 0.1151, 0.0626, 0.9263,2336939.2399
   -9.8935,   8.1554,  0.228, 0.207649, 0.006175,-0.000829,-0.301351,-0.139791, 0.1149, 0.0625, 0.9277,2365692.9979
   -9.7965,   8.1728,  0.316, 0.207692, 0.006173,-0.001147,-0.300037,-0.140071, 0.1148, 0.0625, 0.9289,2391102.3703
   -9.7130,   8.1878,  0.415, 0.207789, 0.006172,-0.001510,-0.299003,-0.140361, 0.1146, 0.0625, 0.9301,2413067.0349
   -9.6433,   8.2003,  0.528, 0.207945, 0.006172,-0.001919,-0.298244,-0.140655, 0.1145, 0.0625, 0.9310,2431499.9421
   -9.5875,   8.2103,  0.653, 0.208167, 0.006171,-0.002379,-0.297747,-0.140942, 0.1144, 0.0625, 0.9318,2446327.7827
   -9.5455,   8.2178,  0.791, 0.208468, 0.006170,-0.002887,-0.297486,-0.141203, 0.1142, 0.0625, 0.9323,2457491.3885
   -9.5175,   8.2229,  0.934, 0.208927, 0.006170,-0.003420,-0.297430,-0.141424, 0.1140, 0.0626, 0.9326,2464946.0674
   -9.5035,   8.2254,  1.002, 0.210739, 0.006170,-0.003750,-0.297529,-0.141589, 0.1134, 0.0628, 0.9326,2468661.8718
   -9.4905,   8.2317,  0.889, 0.209001, 0.006169,-0.003274,-0.297454,-0.141698, 0.1139, 0.0626, 0.9329,2472192.5900
