xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,  -3.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.112611
Cy    = ,   0.000000
Cd=,   0.006636,ICd=,    0.000416,PCd=,    0.006221
Cl   = ,2.16151e-15
Cm   =,   -0.233434
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   17.483926, YCP=,   -0.000000, ZCP=,    1.043950 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -4.491, 0.015062, 0.006362, 0.001010,-0.076519,-0.020825, 0.3412, 0.0520, 1.7659, 0.0000
  -32.4825,   4.1031, -4.145, 0.023773, 0.006371, 0.001689,-0.133764,-0.035570, 0.3322, 0.0531, 1.7765, 0.0636
  -32.4545,   4.1082, -3.815, 0.033245, 0.006383, 0.002202,-0.190883,-0.050668, 0.3225, 0.0541, 1.7944, 0.7886
  -32.4125,   4.1157, -3.445, 0.041729, 0.006395, 0.002504,-0.242020,-0.064817, 0.3138, 0.0551, 1.8210, 3.9595
  -32.3567,   4.1257, -3.051, 0.048870, 0.006404, 0.002601,-0.285447,-0.077670, 0.3063, 0.0559, 1.8563,13.0581
  -32.2870,   4.1382, -2.651, 0.054541, 0.006411, 0.002523,-0.320501,-0.089067, 0.3002, 0.0565, 1.8999,33.5768
  -32.2035,   4.1532, -2.260, 0.058749, 0.006416, 0.002318,-0.347207,-0.098955, 0.2954, 0.0569, 1.9516,73.1276
  -32.1065,   4.1706, -1.890, 0.061592, 0.006419, 0.002032,-0.366093,-0.107363, 0.2919, 0.0572, 2.0108,141.3673
  -31.9958,   4.1904, -1.549, 0.063230, 0.006420, 0.001710,-0.378032,-0.114374, 0.2894, 0.0573, 2.0772,249.7825
  -31.8718,   4.2127, -1.243, 0.063861, 0.006420, 0.001385,-0.384096,-0.120109, 0.2879, 0.0573, 2.1499,411.3870
  -31.7345,   4.2373, -0.973, 0.063699, 0.006418, 0.001082,-0.385436,-0.124711, 0.2870, 0.0572, 2.2278,640.3848
  -31.5842,   4.2643, -0.740, 0.062953, 0.006416, 0.000813,-0.383185,-0.128332, 0.2866, 0.0570, 2.3094,951.8454
  -31.4210,   4.2936, -0.542, 0.061819, 0.006413, 0.000584,-0.378388,-0.131120, 0.2865, 0.0567, 2.3929,1361.4274
  -31.2450,   4.3251, -0.376, 0.060470, 0.006409, 0.000397,-0.371961,-0.133216, 0.2864, 0.0564, 2.4758,1885.1728
  -31.0566,   4.3589, -0.240, 0.059051, 0.006406, 0.000248,-0.364670,-0.134746, 0.2864, 0.0561, 2.5556,2539.3830
  -30.8559,   4.3949, -0.130, 0.057682, 0.006402, 0.000131,-0.357129,-0.135824, 0.2861, 0.0558, 2.6293,3340.5792
  -30.6432,   4.4331, -0.043, 0.056456, 0.006399, 0.000042,-0.349805,-0.136547, 0.2857, 0.0555, 2.6940,4305.5388
  -30.4188,   4.4733,  0.025, 0.055439, 0.006395,-0.000024,-0.343036,-0.136996, 0.2849, 0.0552, 2.7470,5451.3985
  -30.1829,   4.5157,  0.077, 0.054679, 0.006392,-0.000073,-0.337045,-0.137241, 0.2838, 0.0550, 2.7863,6795.8084
  -29.9358,   4.5600,  0.115, 0.054206, 0.006390,-0.000109,-0.331959,-0.137336, 0.2823, 0.0548, 2.8102,8357.1218
  -29.6778,   4.6063,  0.141, 0.054031, 0.006387,-0.000133,-0.327830,-0.137326, 0.2805, 0.0545, 2.8182,10154.6031
  -29.4093,   4.6544,  0.159, 0.054157, 0.006385,-0.000150,-0.324651,-0.137245, 0.2783, 0.0544, 2.8106,12208.6397
  -29.1305,   4.7045,  0.169, 0.054576, 0.006383,-0.000161,-0.322367,-0.137121, 0.2758, 0.0542, 2.7885,14540.9413
  -28.8418,   4.7563,  0.173, 0.055272, 0.006381,-0.000167,-0.320896,-0.136971, 0.2729, 0.0541, 2.7537,17174.7162
  -28.5435,   4.8098,  0.173, 0.056224, 0.006379,-0.000170,-0.320135,-0.136811, 0.2698, 0.0540, 2.7082,20134.8129
  -28.2361,   4.8649,  0.169, 0.057411, 0.006378,-0.000169,-0.319972,-0.136650, 0.2664, 0.0539, 2.6544,23447.8211
  -27.9198,   4.9216,  0.162, 0.058806, 0.006377,-0.000166,-0.320293,-0.136494, 0.2627, 0.0538, 2.5944,27142.1255
  -27.5951,   4.9799,  0.153, 0.060385, 0.006375,-0.000161,-0.320985,-0.136347, 0.2589, 0.0538, 2.5305,31247.9099
  -27.2624,   5.0396,  0.143, 0.062122, 0.006374,-0.000155,-0.321944,-0.136212, 0.2549, 0.0537, 2.4643,35797.1093
  -26.9220,   5.1006,  0.131, 0.063994, 0.006373,-0.000147,-0.323074,-0.136090, 0.2507, 0.0537, 2.3974,40823.3116
  -26.5745,   5.1630,  0.120, 0.065976, 0.006371,-0.000138,-0.324289,-0.135980, 0.2464, 0.0536, 2.3310,46361.6077
  -26.2201,   5.2266,  0.107, 0.068049, 0.006370,-0.000128,-0.325514,-0.135883, 0.2421, 0.0536, 2.2660,52448.3934
  -25.8594,   5.2913,  0.095, 0.070193, 0.006368,-0.000116,-0.326686,-0.135797, 0.2377, 0.0536, 2.2030,59121.1250
  -25.4927,   5.3570,  0.082, 0.072389, 0.006367,-0.000104,-0.327752,-0.135722, 0.2332, 0.0535, 2.1426,66418.0320
  -25.1206,   5.4238,  0.069, 0.074621, 0.006365,-0.000091,-0.328668,-0.135657, 0.2287, 0.0535, 2.0849,74377.7899
  -24.7435,   5.4915,  0.057, 0.076875, 0.006363,-0.000077,-0.329399,-0.135601, 0.2242, 0.0534, 2.0303,83039.1578
  -24.3618,   5.5599,  0.045, 0.079137, 0.006361,-0.000062,-0.329920,-0.135553, 0.2197, 0.0534, 1.9786,92440.5841
  -23.9760,   5.6291,  0.033, 0.081396, 0.006359,-0.000047,-0.330212,-0.135512, 0.2152, 0.0533, 1.9300,102619.7865
  -23.5865,   5.6990,  0.021, 0.083641, 0.006357,-0.000031,-0.330261,-0.135478, 0.2107, 0.0533, 1.8844,113613.3092
  -23.1940,   5.7694,  0.009, 0.085863, 0.006354,-0.000014,-0.330060,-0.135450, 0.2063, 0.0532, 1.8417,125456.0638
  -22.7987,   5.8403, -0.002, 0.088054, 0.006351, 0.000002,-0.329608,-0.135427, 0.2019, 0.0531, 1.8017,138180.8591
  -22.4013,   5.9116, -0.013, 0.090207, 0.006349, 0.000019,-0.328904,-0.135409, 0.1976, 0.0531, 1.7644,151817.9248
  -22.0021,   5.9832, -0.023, 0.092314, 0.006346, 0.000037,-0.327955,-0.135395, 0.1934, 0.0530, 1.7296,166394.4349
  -21.6018,   6.0550, -0.033, 0.094371, 0.006342, 0.000055,-0.326768,-0.135385, 0.1893, 0.0529, 1.6972,181934.0365
  -21.2007,   6.1270, -0.043, 0.096373, 0.006339, 0.000072,-0.325353,-0.135379, 0.1853, 0.0528, 1.6670,198456.3901
  -20.7993,   6.1990, -0.053, 0.098316, 0.006336, 0.000090,-0.323721,-0.135376, 0.1813, 0.0527, 1.6389,215976.7255
  -20.3982,   6.2710, -0.062, 0.100197, 0.006332, 0.000108,-0.321886,-0.135377, 0.1774, 0.0526, 1.6127,234505.4213
  -19.9979,   6.3428, -0.071, 0.102011, 0.006326, 0.000126,-0.319863,-0.135382, 0.1742, 0.0526, 1.5885,254047.6101
  -19.5987,   6.4144, -0.079, 0.103758, 0.006321, 0.000143,-0.317667,-0.135389, 0.1710, 0.0525, 1.5660,274602.8178
  -19.2013,   6.4857, -0.088, 0.105435, 0.006315, 0.000161,-0.315313,-0.135400, 0.1679, 0.0524, 1.5451,296164.6393
  -18.8060,   6.5566, -0.095, 0.107040, 0.006310, 0.000177,-0.312817,-0.135414, 0.1649, 0.0524, 1.5258,318720.4561
  -18.4135,   6.6270, -0.103, 0.108572, 0.006304, 0.000194,-0.310195,-0.135432, 0.1620, 0.0523, 1.5079,342251.2001
  -18.0240,   6.6969, -0.110, 0.110030, 0.006298, 0.000210,-0.307464,-0.135454, 0.1592, 0.0522, 1.4914,366731.1662
  -17.6382,   6.7661, -0.116, 0.111414, 0.006293, 0.000225,-0.304639,-0.135480, 0.1564, 0.0521, 1.4761,392127.8779
  -17.2565,   6.8345, -0.122, 0.112723, 0.006287, 0.000240,-0.301736,-0.135510, 0.1537, 0.0520, 1.4621,418402.0082
  -16.8794,   6.9022, -0.128, 0.113957, 0.006281, 0.000253,-0.298771,-0.135545, 0.1515, 0.0519, 1.4493,445507.3571
  -16.5073,   6.9690, -0.133, 0.115117, 0.006276, 0.000266,-0.295757,-0.135585, 0.1508, 0.0519, 1.4375,473390.8883
  -16.1406,   7.0347, -0.137, 0.116202, 0.006270, 0.000278,-0.292710,-0.135630, 0.1500, 0.0520, 1.4268,501992.8250
  -15.7799,   7.0994, -0.141, 0.117214, 0.006265, 0.000288,-0.289644,-0.135681, 0.1493, 0.0520, 1.4170,531246.8054
  -15.4255,   7.1630, -0.144, 0.118152, 0.006260, 0.000297,-0.286571,-0.135739, 0.1486, 0.0520, 1.4082,561080.0978
  -15.0780,   7.2254, -0.147, 0.119019, 0.006255, 0.000304,-0.283505,-0.135803, 0.1479, 0.0520, 1.4003,591413.8736
  -14.7376,   7.2864, -0.148, 0.119816, 0.006251, 0.000310,-0.280456,-0.135874, 0.1473, 0.0519, 1.3932,622163.5366
  -14.4049,   7.3461, -0.149, 0.120543, 0.006246, 0.000313,-0.277437,-0.135952, 0.1467, 0.0519, 1.3870,653239.1070
  -14.0802,   7.4044, -0.149, 0.121203, 0.006242, 0.000315,-0.274458,-0.136038, 0.1461, 0.0519, 1.3815,684545.6567
  -13.7639,   7.4611, -0.148, 0.121796, 0.006237, 0.000313,-0.271529,-0.136132, 0.1455, 0.0518, 1.3767,715983.7921
  -13.4565,   7.5162, -0.145, 0.122326, 0.006233, 0.000310,-0.268659,-0.136234, 0.1449, 0.0518, 1.3727,747450.1815
  -13.1582,   7.5697, -0.142, 0.122794, 0.006229, 0.000303,-0.265857,-0.136344, 0.1444, 0.0517, 1.3693,778838.1217
