xflr5 v6.61

Main Aircraft
LoadCase1Extendedalpha
QInf  =,  130.700000 ,m/s
Alpha = ,  23.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.982315
Cy    = ,   0.000000
Cd=,   0.115592,ICd=,    0.104158,PCd=,    0.011435
Cl   = , 9.2672e-14
Cm   =,    -2.17099
ICn=,    0.000000,PCn=,    0.000000
XCP=,    9.483386, YCP=,   -0.000000, ZCP=,    1.051675 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-15.427, 0.326398, 0.006628, 0.107485,-0.733579, 0.000273, 0.1192, 0.1041, 0.2463, 0.0000
  -32.4825,   4.1031,-13.596, 0.297610, 0.006618, 0.077031,-1.249896, 0.001353, 0.1286, 0.0962, 0.2430, 1.3787
  -32.4545,   4.1082,-13.091, 0.395018, 0.006651, 0.094686,-1.797965, 0.002056, 0.0978, 0.1261, 0.2427,11.6512
  -32.4125,   4.1157,-12.695, 0.503002, 0.006708, 0.115274,-2.338309, 0.002390, 0.0703, 0.1726, 0.2432,51.9866
  -32.3567,   4.1257,-12.306, 0.611934, 0.006703, 0.135007,-2.862027, 0.002238, 0.0547, 0.2545, 0.2443,164.9440
  -32.2870,   4.1382,-11.921, 0.719168, 0.006743, 0.153064,-3.364328, 0.001496, 0.0417, 0.3405, 0.2459,421.6404
  -32.2035,   4.1532,-11.539, 0.823522, 0.006805, 0.169179,-3.841593, 0.000092, 0.0388, 0.4144, 0.2478,928.3112
  -32.1065,   4.1706,-11.162, 0.924311, 0.006941, 0.183289,-4.291083,-0.002022, 0.0356, 0.4730, 0.2500,1832.1712
  -31.9958,   4.1904,-10.792, 1.021085, 0.007037, 0.195425,-4.710479,-0.004866, 0.0335, 0.5567, 0.2525,3326.4967
  -31.8718,   4.2127,-10.429, 1.113525, 0.007388, 0.205662,-5.098450,-0.008430, 0.0275, 0.5743, 0.2552,5654.8720
  -31.7345,   4.2373,-10.074, 1.201404, 0.007786, 0.214093,-5.453553,-0.012676, 0.0220, 0.5847, 0.2581,9114.5553
  -31.5842,   4.2643, -9.728, 1.284563, 0.008173, 0.220816,-5.774937,-0.017536, 0.0192, 0.5876, 0.2611,14058.9361
  -31.4210,   4.2936, -9.390, 1.362895, 0.008522, 0.225921,-6.062171,-0.022920, 0.0184, 0.5949, 0.2642,20899.0691
  -31.2450,   4.3251, -9.058, 1.436341, 0.008895, 0.229492,-6.315276,-0.028716, 0.0171, 0.6011, 0.2673,30104.2829
  -31.0566,   4.3589, -8.732, 1.504888, 0.009272, 0.231615,-6.534526,-0.034802, 0.0159, 0.6021, 0.2703,42201.8743
  -30.8559,   4.3949, -8.411, 1.568560, 0.009616, 0.232374,-6.720498,-0.041049, 0.0155, 0.6027, 0.2733,57775.9151
  -30.6432,   4.4331, -8.094, 1.627427, 0.009954, 0.231866,-6.874150,-0.047329, 0.0151, 0.6030, 0.2761,77465.2132
  -30.4188,   4.4733, -7.781, 1.681594, 0.010302, 0.230202,-6.996702,-0.053525, 0.0145, 0.6031, 0.2788,101960.4835
  -30.1829,   4.5157, -7.474, 1.731206, 0.010650, 0.227508,-7.089610,-0.059535, 0.0137, 0.6036, 0.2812,132000.7988
  -29.9358,   4.5600, -7.172, 1.776443, 0.010966, 0.223927,-7.154516,-0.065276, 0.0132, 0.6051, 0.2835,168369.3968
  -29.6778,   4.6063, -6.878, 1.817512, 0.011249, 0.219613,-7.193274,-0.070682, 0.0129, 0.6071, 0.2856,211888.9294
  -29.4093,   4.6544, -6.593, 1.854643, 0.011519, 0.214725,-7.207870,-0.075712, 0.0128, 0.6092, 0.2875,263416.2360
  -29.1305,   4.7045, -6.318, 1.888084, 0.011759, 0.209421,-7.200330,-0.080342, 0.0127, 0.6111, 0.2892,323836.7217
  -28.8418,   4.7563, -6.056, 1.918091, 0.012004, 0.203851,-7.172745,-0.084565, 0.0126, 0.6123, 0.2907,394058.4140
  -28.5435,   4.8098, -5.807, 1.944921, 0.012218, 0.198153,-7.127120,-0.088386, 0.0126, 0.6134, 0.2920,475005.7589
  -28.2361,   4.8649, -5.572, 1.968831, 0.012435, 0.192443,-7.065465,-0.091821, 0.0125, 0.6142, 0.2932,567613.2124
  -27.9198,   4.9216, -5.353, 1.990067, 0.012642, 0.186822,-6.989656,-0.094893, 0.0124, 0.6150, 0.2943,672818.6713
  -27.5951,   4.9799, -5.148, 2.008864, 0.012818, 0.181369,-6.901458,-0.097628, 0.0124, 0.6156, 0.2952,791556.7792
  -27.2624,   5.0396, -4.960, 2.025443, 0.013007, 0.176145,-6.802567,-0.100057, 0.0124, 0.6160, 0.2960,924752.1423
  -26.9220,   5.1006, -4.786, 2.040007, 0.013202, 0.171192,-6.694512,-0.102207, 0.0124, 0.6163, 0.2967,1073312.4820
  -26.5745,   5.1630, -4.627, 2.052747, 0.013377, 0.166541,-6.578676,-0.104108, 0.0124, 0.6166, 0.2973,1238121.7530
  -26.2201,   5.2266, -4.483, 2.063833, 0.013520, 0.162206,-6.456331,-0.105786, 0.0124, 0.6167, 0.2978,1420033.2534
  -25.8594,   5.2913, -4.352, 2.073422, 0.013634, 0.158196,-6.328640,-0.107268, 0.0124, 0.6169, 0.2983,1619862.7573
  -25.4927,   5.3570, -4.234, 2.081656, 0.013824, 0.154508,-6.196726,-0.108575, 0.0124, 0.6169, 0.2987,1838381.6992
  -25.1206,   5.4238, -4.127, 2.088660, 0.013992, 0.151137,-6.061454,-0.109729, 0.0124, 0.6170, 0.2991,2076310.4430
  -24.7435,   5.4915, -4.032, 2.094551, 0.014105, 0.148071,-5.923644,-0.110749, 0.0124, 0.6170, 0.2995,2334311.6709
  -24.3618,   5.5599, -3.947, 2.099431, 0.014173, 0.145295,-5.784057,-0.111652, 0.0124, 0.6169, 0.2998,2612983.9289
  -23.9760,   5.6291, -3.872, 2.103391, 0.014290, 0.142795,-5.643428,-0.112451, 0.0121, 0.6176, 0.3001,2912855.3676
  -23.5865,   5.6990, -3.805, 2.106516, 0.014300, 0.140552,-5.502249,-0.113160, 0.0121, 0.6175, 0.3004,3234377.7183
  -23.1940,   5.7694, -3.746, 2.108879, 0.014279, 0.138550,-5.361103,-0.113790, 0.0120, 0.6174, 0.3006,3577920.5460
  -22.7987,   5.8403, -3.695, 2.110547, 0.014233, 0.136769,-5.220461,-0.114352, 0.0120, 0.6173, 0.3009,3943765.8212
  -22.4013,   5.9116, -3.650, 2.111581, 0.014166, 0.135193,-5.080742,-0.114855, 0.0120, 0.6171, 0.3011,4332102.8519
  -22.0021,   5.9832, -3.612, 2.112036, 0.014081, 0.133804,-4.942310,-0.115306, 0.0119, 0.6169, 0.3013,4743023.6180
  -21.6018,   6.0550, -3.579, 2.111961, 0.013982, 0.132586,-4.805490,-0.115713, 0.0119, 0.6167, 0.3015,5176518.5483
  -21.2007,   6.1270, -3.551, 2.111400, 0.013872, 0.131522,-4.670563,-0.116081, 0.0118, 0.6165, 0.3017,5632472.7804
  -20.7993,   6.1990, -3.527, 2.110396, 0.013753, 0.130597,-4.537775,-0.116417, 0.0118, 0.6163, 0.3019,6110662.9388
  -20.3982,   6.2710, -3.508, 2.108985, 0.013629, 0.129796,-4.407339,-0.116725, 0.0118, 0.6160, 0.3021,6610754.4693
  -19.9979,   6.3428, -3.492, 2.107203, 0.013501, 0.129107,-4.279442,-0.117010, 0.0117, 0.6157, 0.3023,7132299.5584
  -19.5987,   6.4144, -3.479, 2.105081, 0.013371, 0.128515,-4.154240,-0.117276, 0.0117, 0.6154, 0.3025,7674735.6696
  -19.2013,   6.4857, -3.469, 2.102649, 0.013241, 0.128008,-4.031869,-0.117527, 0.0117, 0.6151, 0.3027,8237384.7202
  -18.8060,   6.5566, -3.461, 2.099936, 0.013113, 0.127574,-3.912445,-0.117766, 0.0116, 0.6148, 0.3029,8819452.9194
  -18.4135,   6.6270, -3.456, 2.096967, 0.012937, 0.127203,-3.796038,-0.117997, 0.0118, 0.6138, 0.3031,9420031.2862
  -18.0240,   6.6969, -3.452, 2.093767, 0.012836, 0.126882,-3.682785,-0.118223, 0.0117, 0.6136, 0.3033,10038096.8578
  -17.6382,   6.7661, -3.450, 2.090361, 0.012737, 0.126603,-3.572715,-0.118447, 0.0116, 0.6134, 0.3035,10672514.5957
  -17.2565,   6.8345, -3.449, 2.086769, 0.012640, 0.126355,-3.465879,-0.118672, 0.0115, 0.6131, 0.3037,11322039.9926
  -16.8794,   6.9022, -3.448, 2.083015, 0.012554, 0.126128,-3.362321,-0.118900, 0.0115, 0.6128, 0.3040,11985322.3765
  -16.5073,   6.9690, -3.449, 2.079119, 0.012495, 0.125915,-3.262074,-0.119136, 0.0115, 0.6123, 0.3042,12660908.9032
  -16.1406,   7.0347, -3.449, 2.075102, 0.012435, 0.125705,-3.165148,-0.119381, 0.0114, 0.6118, 0.3044,13347249.2249
  -15.7799,   7.0994, -3.450, 2.070983, 0.012379, 0.125490,-3.071556,-0.119638, 0.0114, 0.6114, 0.3047,14042700.8140
  -15.4255,   7.1630, -3.450, 2.066782, 0.012324, 0.125262,-2.981302,-0.119910, 0.0114, 0.6109, 0.3049,14745534.9208
  -15.0780,   7.2254, -3.450, 2.062519, 0.012270, 0.125012,-2.894384,-0.120201, 0.0114, 0.6104, 0.3052,15453943.1329
  -14.7376,   7.2864, -3.449, 2.058212, 0.013411, 0.124732,-2.811215,-0.120512, 0.0198, 0.4121, 0.3055,16166044.5056
  -14.4049,   7.3461, -3.447, 2.053880, 0.013515, 0.124414,-2.730988,-0.120846, 0.0209, 0.3821, 0.3058,16879893.2224
  -14.0802,   7.4044, -3.444, 2.049543, 0.013609, 0.124048,-2.654058,-0.121207, 0.0219, 0.3528, 0.3061,17593486.7448
  -13.7639,   7.4611, -3.439, 2.045218, 0.013695, 0.123627,-2.580406,-0.121595, 0.0229, 0.3242, 0.3064,18304774.4043
  -13.4565,   7.5162, -3.432, 2.040924, 0.013773, 0.123141,-2.510010,-0.122014, 0.0238, 0.2965, 0.3067,19011666.3869
  -13.1582,   7.5697, -3.423, 2.036680, 0.013843, 0.122582,-2.442846,-0.122465, 0.0246, 0.2695, 0.3071,19712043.0573
  -12.8695,   7.6215, -3.412, 2.032505, 0.013905, 0.121939,-2.378887,-0.122950, 0.0254, 0.2434, 0.3075,20403764.5669
  -12.5907,   7.6716, -3.397, 2.028416, 0.013959, 0.121202,-2.318104,-0.123470, 0.0261, 0.2181, 0.3078,21084680.6899
  -12.3222,   7.7197, -3.380, 2.024432, 0.014008, 0.120360,-2.260468,-0.124026, 0.0268, 0.1938, 0.3082,21752640.8259
  -12.0642,   7.7660, -3.358, 2.020572, 0.014050, 0.119401,-2.205948,-0.124618, 0.0274, 0.1704, 0.3086,22405504.1112
  -11.8171,   7.8103, -3.333, 2.016854, 0.014087, 0.118312,-2.154512,-0.125247, 0.0280, 0.1480, 0.3091,23041149.5774
  -11.5812,   7.8527, -3.303, 2.013296, 0.014118, 0.117080,-2.106127,-0.125911, 0.0285, 0.1266, 0.3095,23657486.2961
  -11.3568,   7.8929, -3.269, 2.009916, 0.014146, 0.115688,-2.060761,-0.126610, 0.0289, 0.1062, 0.3100,24252463.4503
  -11.1441,   7.9311, -3.228, 2.006732, 0.014170, 0.114119,-2.018380,-0.127343, 0.0293, 0.0869, 0.3104,24824080.2735
