xflr5 v6.61

Plane name :, Main Aircraft
Polar name :, Vd
Freestream speed :, 171.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   12.500,     0.000,   1.272966,   0.043990,   0.007635,   0.051625,   0.000000,   0.000000,  -1.469023,   0.000000,   0.000000,  171.3200,    9.6457
   13.000,     0.000,   1.308604,   0.046468,   0.007750,   0.054218,   0.000000,   0.000000,  -1.506121,   0.000000,   0.000000,  171.3200,    9.6288
   13.500,     0.000,   1.344081,   0.048998,   0.007870,   0.056868,   0.000000,   0.000000,  -1.542919,   0.000000,   0.000000,  171.3200,    9.6132
   14.000,     0.000,   1.379392,   0.051577,   0.007995,   0.059571,   0.000000,   0.000000,  -1.579405,   0.000000,   0.000000,  171.3200,    9.5989
   14.500,     0.000,   1.414533,   0.054203,   0.008125,   0.062328,   0.000000,   0.000000,  -1.615568,   0.000000,   0.000000,  171.3200,    9.5857
   15.000,     0.000,   1.449500,   0.056875,   0.008264,   0.065139,   0.000000,   0.000000,  -1.651399,   0.000000,   0.000000,  171.3200,    9.5736
   15.500,     0.000,   1.484290,   0.059591,   0.008405,   0.067997,   0.000000,   0.000000,  -1.686885,   0.000000,   0.000000,  171.3200,    9.5625
   16.000,     0.000,   1.518898,   0.062349,   0.008548,   0.070897,   0.000000,   0.000000,  -1.722016,   0.000000,   0.000000,  171.3200,    9.5523
   16.500,     0.000,   1.553321,   0.065146,   0.008692,   0.073838,   0.000000,   0.000000,  -1.756781,   0.000000,   0.000000,  171.3200,    9.5430
   17.000,     0.000,   1.587554,   0.067982,   0.008837,   0.076818,   0.000000,   0.000000,  -1.791168,   0.000000,   0.000000,  171.3200,    9.5346
   17.500,     0.000,   1.621595,   0.070852,   0.008985,   0.079837,   0.000000,   0.000000,  -1.825170,   0.000000,   0.000000,  171.3200,    9.5269
   18.000,     0.000,   1.655438,   0.073757,   0.009136,   0.082893,   0.000000,   0.000000,  -1.858774,   0.000000,   0.000000,  171.3200,    9.5199
   18.500,     0.000,   1.689082,   0.076692,   0.009289,   0.085982,   0.000000,   0.000000,  -1.891971,   0.000000,   0.000000,  171.3200,    9.5137
   19.000,     0.000,   1.722522,   0.079657,   0.009443,   0.089101,   0.000000,   0.000000,  -1.924750,   0.000000,   0.000000,  171.3200,    9.5081
   19.500,     0.000,   1.755756,   0.082649,   0.009600,   0.092249,   0.000000,   0.000000,  -1.957103,   0.000000,   0.000000,  171.3200,    9.5031
   20.000,     0.000,   1.788778,   0.085666,   0.009762,   0.095427,   0.000000,   0.000000,  -1.989019,   0.000000,   0.000000,  171.3200,    9.4987
   20.500,     0.000,   1.821587,   0.088705,   0.009927,   0.098631,   0.000000,   0.000000,  -2.020489,   0.000000,   0.000000,  171.3200,    9.4949
   21.000,     0.000,   1.854179,   0.091764,   0.010090,   0.101854,   0.000000,   0.000000,  -2.051502,   0.000000,   0.000000,  171.3200,    9.4916
   21.500,     0.000,   1.886551,   0.094841,   0.010276,   0.105117,   0.000000,   0.000000,  -2.082057,   0.000000,   0.000000,  171.3200,    9.4889
   22.000,     0.000,   1.918700,   0.097934,   0.010474,   0.108408,   0.000000,   0.000000,  -2.112142,   0.000000,   0.000000,  171.3200,    9.4866
   22.500,     0.000,   1.950622,   0.101041,   0.010239,   0.111279,   0.000000,   0.000000,  -2.141574,   0.000000,   0.000000,  171.3200,    9.4848
   23.000,     0.000,   1.982315,   0.104158,   0.010381,   0.114539,   0.000000,   0.000000,  -2.170656,   0.000000,   0.000000,  171.3200,    9.4834


